Genes	GeneID	Msk	MSE
gene_1	0	msk_32	0.6799638175640821
gene_2	1	msk_0	1.009017780491732
gene_3	2	msk_0	0.9836074295002444
gene_4	3	msk_16	0.6535025195429047
gene_5	4	msk_32	0.9834169038249034
gene_6	5	msk_16	0.6561199400928507
gene_7	6	msk_16	0.9997485057210468
gene_8	7	msk_48	0.9827626154385051
gene_9	8	msk_0	0.6562627244338503
gene_10	9	msk_32	0.984007097966205
gene_11	10	msk_0	1.0100190027705451
gene_12	11	msk_0	0.9957011081806174
gene_13	12	msk_48	0.6567688039028535
gene_14	13	msk_48	0.34002006757920483
gene_15	14	msk_16	0.6561481724436814
gene_16	15	msk_0	1.0094239431042404
gene_17	16	msk_16	0.6712039553178757
gene_18	17	msk_32	1.0078143862393556
gene_19	18	msk_32	0.9847303978540051
gene_20	19	msk_32	0.9829858011384593
gene_21	20	msk_16	0.9771814521198537
gene_22	21	msk_16	0.3293280545165082
gene_23	22	msk_16	0.34001443482773924
gene_24	23	msk_0	0.3267836508066398
gene_25	24	msk_16	0.33188589986959705
gene_26	25	msk_0	1.0160990537186443
gene_27	26	msk_32	1.0069066389869041
gene_28	27	msk_32	1.011900617457751
gene_29	28	msk_16	0.656856215018306
gene_30	29	msk_0	1.0066937915273202
