Genes	Idx	nImprov	D0_NSC_1	D0_NSC_2	D0_NSC_3	D0_NSC_4	D4_Neu_1	D4_Neu_2	D4_Neu_3	D4_Neu_4	D4_Ast_1	D4_Ast_2	D4_Ast_3	D4_Ast_4	D4_OligD_1	D4_OligD_2	D4_OligD_3	D4_OligD_4
gene_1	0	512	32	32	32	32	0	64	64	0	32	32	32	32	32	32	32	32
gene_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_4	3	512	32	32	32	32	0	64	0	64	32	32	32	32	32	32	32	32
gene_5	4	512	32	32	32	32	0	0	64	64	32	32	32	32	32	32	32	32
gene_6	5	576	36	36	36	36	0	48	48	48	36	36	36	36	48	48	48	0
gene_7	6	512	32	32	32	32	0	64	0	64	32	32	32	32	32	32	32	32
gene_8	7	96	24	0	0	0	0	8	8	8	6	6	6	6	12	12	0	0
gene_9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	9	384	24	24	24	24	0	32	32	32	24	24	24	24	48	48	0	0
gene_11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_13	12	512	32	32	32	32	0	0	64	64	32	32	32	32	32	32	32	32
gene_14	13	768	48	48	48	48	0	64	64	64	48	48	48	48	48	48	48	48
gene_15	14	768	48	48	48	48	0	64	64	64	48	48	48	48	48	48	48	48
gene_16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_17	16	512	32	32	32	32	0	64	0	64	32	32	32	32	32	32	32	32
gene_18	17	384	24	24	24	24	0	48	48	0	24	24	24	24	32	32	32	0
gene_19	18	512	32	32	32	32	0	64	64	0	32	32	32	32	32	32	32	32
gene_20	19	64	8	8	0	0	0	8	8	0	4	4	4	4	16	0	0	0
gene_21	20	256	16	16	16	16	0	64	0	0	16	16	16	16	16	16	16	16
gene_22	21	768	48	48	48	48	0	64	64	64	48	48	48	48	48	48	48	48
gene_23	22	192	16	16	16	0	0	24	24	0	12	12	12	12	24	24	0	0
gene_24	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_25	24	768	48	48	48	48	0	64	64	64	48	48	48	48	48	48	48	48
gene_26	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_27	26	512	32	32	32	32	0	0	64	64	32	32	32	32	32	32	32	32
gene_28	27	768	48	48	48	48	0	64	64	64	48	48	48	48	48	48	48	48
gene_29	28	256	16	16	16	16	0	64	0	0	16	16	16	16	16	16	16	16
gene_30	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
