Msks	enh_0	enh_1	enh_2	enh_3	enh_4	enh_5	enh_6	enh_7	enh_8	enh_9	enh_10	enh_11	enh_12	enh_13	enh_14	enh_15
msk_0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
msk_1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
msk_2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
msk_3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
msk_4	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
msk_5	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
msk_6	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
msk_7	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
msk_8	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
msk_9	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
msk_10	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
msk_11	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
msk_12	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
msk_13	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
msk_14	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
msk_15	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
msk_16	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
msk_17	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
msk_18	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
msk_19	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
msk_20	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
msk_21	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
msk_22	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
msk_23	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
msk_24	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
msk_25	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
msk_26	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
msk_27	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
msk_28	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
msk_29	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
msk_30	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
msk_31	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
msk_32	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
msk_33	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
msk_34	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
msk_35	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
msk_36	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
msk_37	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0
msk_38	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
msk_39	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
msk_40	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
msk_41	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
msk_42	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
msk_43	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
msk_44	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
msk_45	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
msk_46	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
msk_47	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
msk_48	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
msk_49	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
msk_50	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
msk_51	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
msk_52	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
msk_53	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
msk_54	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
msk_55	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
msk_56	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
msk_57	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
msk_58	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
msk_59	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
msk_60	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
msk_61	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
msk_62	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
msk_63	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
msk_64	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0
msk_65	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
msk_66	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0
msk_67	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1
msk_68	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0
msk_69	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0
msk_70	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0
msk_71	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1
msk_72	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0
msk_73	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0
msk_74	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0
msk_75	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1
msk_76	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
msk_77	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0
msk_78	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0
msk_79	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1
msk_80	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0
msk_81	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0
msk_82	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0
msk_83	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1
msk_84	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0
msk_85	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
msk_86	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0
msk_87	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1
msk_88	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0
msk_89	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
msk_90	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0
msk_91	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1
msk_92	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
msk_93	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0
msk_94	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0
msk_95	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1
msk_96	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0
msk_97	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0
msk_98	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0
msk_99	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1
msk_100	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0
msk_101	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0
msk_102	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0
msk_103	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1
msk_104	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0
msk_105	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0
msk_106	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
msk_107	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
msk_108	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0
msk_109	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0
msk_110	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
msk_111	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
msk_112	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0
msk_113	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0
msk_114	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
msk_115	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1
msk_116	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
msk_117	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
msk_118	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
msk_119	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1
msk_120	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0
msk_121	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0
msk_122	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0
msk_123	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1
msk_124	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
msk_125	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0
