Genes	D0_NSC	D4_Neu	D4_Ast	D4_OligD
gene_1	D0_NSC_chr3-1007	D4_Neu_chr3-957	D4_Ast_chr3-369	D4_OligD_chr3-803
gene_2	D0_NSC_chr16-493	D4_Neu_chr16-235	D4_Ast_chr16-171	D4_OligD_chr16-321
gene_3	D0_NSC_chr7-304	D4_Neu_chr7-3678	D4_Ast_chr7-916	D4_OligD_chr7-928
gene_4	D0_NSC_chr11-1938	D4_Neu_chr11-1105	D4_Ast_chr11-1423	D4_OligD_chr11-1104
gene_5	D0_NSC_chr11-2130	D4_Neu_chr11-3901	D4_Ast_chr11-2308	D4_OligD_chr11-1828
gene_6	D0_NSC_chr6-875	D4_Neu_chr6-2906	D4_Ast_chr6-3260	D4_OligD_chr6-876
gene_7	D0_NSC_chr13-73	D4_Neu_chr13-32	D4_Ast_chr13-113	D4_OligD_chr13-235
gene_8	D0_NSC_chr4-196	D4_Neu_chr4-4557	D4_Ast_chr4-242	D4_OligD_chr4-110
gene_9	D0_NSC_chr11-1323	D4_Neu_chr11-4445	D4_Ast_chr11-6270	D4_OligD_chr11-3477
gene_10	D0_NSC_chr11-2088	D4_Neu_chr11-3734	D4_Ast_chr11-2416	D4_OligD_chr11-231
gene_11	D0_NSC_chr17-342	D4_Neu_chr17-325	D4_Ast_chr17-439	D4_OligD_chr17-480
gene_12	D0_NSC_chr11-44	D4_Neu_chr11-50	D4_Ast_chr11-48	D4_OligD_chr11-55
gene_13	D0_NSC_chr5-999	D4_Neu_chr5-3106	D4_Ast_chr5-852	D4_OligD_chr5-1075
gene_14	D0_NSC_chr5-207	D4_Neu_chr5-2250	D4_Ast_chr5-556	D4_OligD_chr5-336
gene_15	D0_NSC_chr9-227	D4_Neu_chr9-317	D4_Ast_chr9-1886	D4_OligD_chr9-199
gene_16	D0_NSC_chr9-393	D4_Neu_chr9-399	D4_Ast_chr9-269	D4_OligD_chr9-318
gene_17	D0_NSC_chr9-739	D4_Neu_chr9-486	D4_Ast_chr9-767	D4_OligD_chr9-1379
gene_18	D0_NSC_chr6-1846	D4_Neu_chr6-260	D4_Ast_chr6-571	D4_OligD_chr6-433
gene_19	D0_NSC_chr2-571	D4_Neu_chr2-2426	D4_Ast_chr2-587	D4_OligD_chr2-764
gene_20	D0_NSC_chr14-932	D4_Neu_chr14-2598	D4_Ast_chr14-2421	D4_OligD_chr14-134
gene_21	D0_NSC_chr11-2490	D4_Neu_chr11-120	D4_Ast_chr11-290	D4_OligD_chr11-129
gene_22	D0_NSC_chr2-1132	D4_Neu_chr2-5311	D4_Ast_chr2-5781	D4_OligD_chr2-3184
gene_23	D0_NSC_chrX-93	D4_Neu_chrX-177	D4_Ast_chrX-1674	D4_OligD_chrX-137
gene_24	D0_NSC_chr11-458	D4_Neu_chr11-1650	D4_Ast_chr11-1214	D4_OligD_chr11-510
gene_25	D0_NSC_chr11-1067	D4_Neu_chr11-2047	D4_Ast_chr11-199	D4_OligD_chr11-934
gene_26	D0_NSC_chr10-374	D4_Neu_chr10-1791	D4_Ast_chr10-718	D4_OligD_chr10-430
gene_27	D0_NSC_chr11-551	D4_Neu_chr11-289	D4_Ast_chr11-1201	D4_OligD_chr11-1061
gene_28	D0_NSC_chr2-431	D4_Neu_chr2-862	D4_Ast_chr2-1478	D4_OligD_chr2-802
gene_29	D0_NSC_chr2-1414	D4_Neu_chr2-453	D4_Ast_chr2-1203	D4_OligD_chr2-718
gene_30	D0_NSC_chr11-451	D4_Neu_chr11-279	D4_Ast_chr11-4912	D4_OligD_chr11-1072
